,Road_Configuration,Light_Condition
6986,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
6987,"ONE-WAY,NOT DIVIDED",DAYLIGHT
6988,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
6989,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
6990,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
6991,"TWO-WAY,NOT DIVIDED",DAYLIGHT
6992,"TWO-WAY,NOT DIVIDED",DAYLIGHT
6993,"TWO-WAY,NOT DIVIDED",DAYLIGHT
6994,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
6995,"ONE-WAY,NOT DIVIDED",DAYLIGHT
6996,"TWO-WAY,NOT DIVIDED",DAYLIGHT
6997,"TWO-WAY,NOT DIVIDED",DAYLIGHT
6998,"TWO-WAY,NOT DIVIDED",DAYLIGHT
6999,"ONE-WAY,NOT DIVIDED",DAYLIGHT
7000,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7001,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7002,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7003,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7004,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7005,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7006,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7007,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7008,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7009,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7010,"TWO-WAY,NOT DIVIDED",UNKNOWN
7011,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7012,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7013,UNKNOWN,UNKNOWN
7014,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7015,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7016,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7017,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7018,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7019,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7020,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
7021,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7022,UNKNOWN,DAYLIGHT
7023,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
7024,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7025,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7026,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7027,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7028,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7029,UNKNOWN,UNKNOWN
7030,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7031,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7032,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7033,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAWN
7034,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7035,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7036,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7037,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
7038,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7039,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7040,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7041,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7042,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7043,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7044,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7045,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7046,"TWO-WAY,NOT DIVIDED",DARK - ROADWAY NOT LIGHTED
7047,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7048,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7049,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7050,"TWO-WAY,NOT DIVIDED",DARK - ROADWAY NOT LIGHTED
7051,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7052,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7053,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
7054,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7055,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7056,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
7057,"ONE-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
7058,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7059,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7060,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7061,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7062,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
7063,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7064,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7065,UNKNOWN,UNKNOWN
7066,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7067,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7068,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7069,"ONE-WAY,NOT DIVIDED",DAYLIGHT
7070,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7071,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7072,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7073,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7074,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7075,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7076,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7077,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
7078,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7079,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7080,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7081,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7082,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7083,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7084,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7085,"ONE-WAY,NOT DIVIDED",DAYLIGHT
7086,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7087,"TWO-WAY,NOT DIVIDED",DARK - ROADWAY NOT LIGHTED
7088,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
7089,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7090,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7091,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7092,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7093,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7094,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7095,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7096,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7097,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7098,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7099,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7100,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7101,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7102,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7103,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7104,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7105,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7106,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7107,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7108,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7109,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7110,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
7111,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
7112,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7113,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7114,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7115,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7116,"ONE-WAY,NOT DIVIDED",DAYLIGHT
7117,"ONE-WAY,NOT DIVIDED",DAYLIGHT
7118,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7119,"TWO-WAY,NOT DIVIDED",DUSK
7120,"TWO-WAY,NOT DIVIDED",DARK - ROADWAY NOT LIGHTED
7121,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7122,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7123,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7124,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7125,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7126,"ONE-WAY,NOT DIVIDED",DAYLIGHT
7127,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7128,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7129,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7130,"TWO-WAY,NOT DIVIDED",DAWN
7131,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7132,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7133,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7134,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7135,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7136,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7137,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7138,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7139,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7140,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7141,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7142,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7143,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7144,"ONE-WAY,NOT DIVIDED",DAYLIGHT
7145,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7146,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7147,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7148,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7149,"ONE-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
7150,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7151,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
7152,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7153,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7154,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7155,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7156,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7157,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7158,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7159,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7160,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7161,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7162,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
7163,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7164,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7165,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7166,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7167,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7168,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7169,"ONE-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
7170,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7171,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7172,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7173,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7174,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7175,"ONE-WAY,NOT DIVIDED",DAYLIGHT
7176,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7177,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7178,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7179,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7180,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7181,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7182,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7183,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7184,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7185,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DUSK
7186,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7187,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7188,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7189,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7190,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7191,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7192,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7193,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7194,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7195,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
7196,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7197,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7198,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7199,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7200,"ONE-WAY,NOT DIVIDED",DAYLIGHT
7201,UNKNOWN,UNKNOWN
7202,"ONE-WAY,NOT DIVIDED",DAYLIGHT
7203,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7204,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
7205,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
7206,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7207,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7208,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
7209,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7210,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7211,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7212,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7213,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7214,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7215,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7216,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7217,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7218,"TWO-WAY,NOT DIVIDED",DUSK
7219,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7220,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7221,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7222,"ONE-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
7223,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7224,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7225,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7226,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7227,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7228,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7229,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7230,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7231,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7232,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7233,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7234,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7235,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7236,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7237,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7238,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7239,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7240,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - ROADWAY NOT LIGHTED
7241,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7242,"TWO-WAY,NOT DIVIDED",UNKNOWN
7243,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7244,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7245,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7246,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7247,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7248,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7249,"ONE-WAY,NOT DIVIDED",DAYLIGHT
7250,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7251,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7252,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7253,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7254,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7255,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7256,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7257,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7258,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7259,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7260,"TWO-WAY,NOT DIVIDED",DARK - ROADWAY NOT LIGHTED
7261,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7262,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7263,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7264,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
7265,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7266,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DARK - LIGHTED ROADWAY
7267,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7268,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7269,UNKNOWN,UNKNOWN
7270,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
7271,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7272,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
7273,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7274,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7275,"TWO-WAY,NOT DIVIDED",DUSK
7276,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7277,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7278,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7279,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7280,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7281,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7282,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - ROADWAY NOT LIGHTED
7283,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DARK - LIGHTED ROADWAY
7284,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7285,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7286,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7287,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
7288,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7289,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7290,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7291,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7292,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7293,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7294,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7295,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7296,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7297,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7298,"ONE-WAY,NOT DIVIDED",DAYLIGHT
7299,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7300,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7301,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7302,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7303,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7304,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7305,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7306,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7307,UNKNOWN,UNKNOWN
7308,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
7309,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7310,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7311,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DUSK
7312,"TWO-WAY,NOT DIVIDED",DUSK
7313,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7314,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7315,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7316,"TWO-WAY,NOT DIVIDED",DARK - ROADWAY NOT LIGHTED
7317,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7318,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7319,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
7320,"ONE-WAY,NOT DIVIDED",DAYLIGHT
7321,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DARK - LIGHTED ROADWAY
7322,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7323,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
7324,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
7325,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7326,"TWO-WAY,NOT DIVIDED",UNKNOWN
7327,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7328,"TWO-WAY,NOT DIVIDED",DARK - ROADWAY NOT LIGHTED
7329,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7330,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7331,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
7332,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7333,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7334,"TWO-WAY,NOT DIVIDED",DARK - ROADWAY NOT LIGHTED
7335,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7336,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7337,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
7338,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7339,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7340,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7341,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7342,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
7343,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
7344,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DARK - LIGHTED ROADWAY
7345,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7346,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7347,"TWO-WAY,NOT DIVIDED",DARK - ROADWAY NOT LIGHTED
7348,"TWO-WAY,NOT DIVIDED",DARK - ROADWAY NOT LIGHTED
7349,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
7350,"TWO-WAY,NOT DIVIDED",DARK - ROADWAY NOT LIGHTED
7351,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7352,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
7353,"TWO-WAY,NOT DIVIDED",DAWN
7354,"ONE-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
7355,"TWO-WAY,NOT DIVIDED",DARK - ROADWAY NOT LIGHTED
7356,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
7357,"TWO-WAY,NOT DIVIDED",DAYLIGHT
7358,"TWO-WAY,NOT DIVIDED",DARK - ROADWAY NOT LIGHTED
7359,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
